"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user cannot log in without a password","1611","Missing Password","chromium","Thu Nov 27 00:37:21 EST 2025","passed","Thu Nov 27 00:37:23 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in with the wrong credentials","1517","Invalid Login","chromium","Thu Nov 27 00:37:21 EST 2025","passed","Thu Nov 27 00:37:22 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in without a password","1431","Missing Password","webkit","Thu Nov 27 00:37:36 EST 2025","passed","Thu Nov 27 00:37:37 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in with the wrong credentials","5125","Invalid Login","firefox","Thu Nov 27 00:37:24 EST 2025","passed","Thu Nov 27 00:37:29 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in with the wrong credentials","1574","Invalid Login","webkit","Thu Nov 27 00:37:34 EST 2025","passed","Thu Nov 27 00:37:35 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in without a username","4986","Missing Username","firefox","Thu Nov 27 00:37:24 EST 2025","passed","Thu Nov 27 00:37:29 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in without a username","1158","Missing Username","webkit","Thu Nov 27 00:37:36 EST 2025","passed","Thu Nov 27 00:37:38 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a valid user can log in and access the inventory page.","1739","Valid Login","chromium","Thu Nov 27 00:37:21 EST 2025","passed","Thu Nov 27 00:37:23 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in without a username","1628","Missing Username","chromium","Thu Nov 27 00:37:21 EST 2025","passed","Thu Nov 27 00:37:23 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a valid user can log in and access the inventory page.","5483","Valid Login","firefox","Thu Nov 27 00:37:24 EST 2025","passed","Thu Nov 27 00:37:29 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a valid user can log in and access the inventory page.","2348","Valid Login","webkit","Thu Nov 27 00:37:33 EST 2025","passed","Thu Nov 27 00:37:35 EST 2025","Login Functionality","login.spec.js","",""
"Verify that a user cannot log in without a password","2818","Missing Password","firefox","Thu Nov 27 00:37:24 EST 2025","passed","Thu Nov 27 00:37:27 EST 2025","Login Functionality","login.spec.js","",""
